web-scraper-order,month,days,news
1698761693-53,April,30,100th episode of Mann Ki Baat today: The nation’s talk show that celebrates ordinary Indians
1698761693-54,April,30,"Father, stepmom booked for torturing 9-year-old in Chennai"
1698761693-55,April,30,'Mukhtar Ansari wanted Rs 1-crore light machine gun to penetrate Krishnanand Rai's bullet-proof SUV'
1698761693-56,April,30,K’taka man held for Mapusa temple theft
1698761693-57,April,30,Woman robbed of valuables worth Rs 10L on Mum train
1698761693-58,April,30,ASI dies as vehicle hits his bike from behind on Delhi-Gurgaon expressway
1698761693-59,April,30,"Pythons, anacondas and kingsnakes seized at Chennai airport"
1698761693-60,April,30,Goa may be first state to roll out oral bait rabies vaccine
1698761693-61,April,30,"Ahead of G20, Delhi LG VK Saxena directs revamp of Ring Road stretch"
1698761693-62,April,30,"Ratnagiri: Where's our mother, ask kids of victim"
1698761693-63,April,30,"Zero Shadow Day in Goa at 12.32pm, May 2"
1698761693-64,April,30,"No break, DBC workers’ contracts renewed from April 1 itself, says Delhi mayor Shelly Oberoi"
1698761693-65,April,30,Chennai: Centre's panel of experts greenlights pen monument
1698761693-66,April,30,"PPCB, MC spar over release of untreated water in MC sewer lines"
1698761693-67,April,30,35 Ludhiana students put up a stellar show in IIT-JEE
1698761693-68,April,30,Hubballi duo arrested in Ponda bike robbery case
1698761693-69,April,30,CM Arvind Kejriwal’s tweet after JEE perfect score doubles joy of Delhi govt school student’s family
1698761693-70,April,30,100th Mann Ki Baat episode: BJP plans live broadcast at 4 lakh sites
1698761693-71,April,30,Experts call for survey of silt to save lakes in Chennai
1698761693-72,April,30,"Gurgaon: Witness doesn't indict kin, but court rejects it, gives life terms"
1698761693-73,April,30,A fight to save sporting culture: Delhi CM Arvind Kejriwal
1698761693-74,April,30,Excise case: Court extends former Delhi deputy CM Manish Sisodia’s custody till May 8
1698761693-75,April,30,4 from UP get perfect 100 in JEE
1698761693-76,April,30,Chennai: Finding a home for a 70-year-old destitute
1698761693-77,April,30,"Essential supplies cut off, says Bajrang Punia, Delhi Police deny charge"
1698761693-78,April,30,"Sr inspector killed, 3 cops, accused injured in e-way accident"
1698761693-79,April,30,"Shelter meals resume, Delhi LG VK Saxena asks chief secretary Naresh Kumar to look into NGO dues"
1698761693-80,April,30,31-year-old woman shot by neighbour over enmity in Mumbai
1698761693-81,April,30,"JEE (Main): Chennai student gets all India rank 30, tops Tamil Nadu"
1698761693-82,April,30,"AAP, BJP continue to spar over renovation of Delhi CM Arvind Kejriwal’s residence"
1698761693-83,April,30,Dengue season coming up: Health dept conducts checks in Ludhiana
1698761693-84,April,30,Punjab Agricultural University demolishes 'faulty' speed breakers ahead of CM visit
1698761693-85,April,30,Central Chennai sees residential projects rise
1698761693-86,April,30,"Weekly Horoscope, April 30 to May 6, 2023: Read weekly astrological predictions for all zodiac signs"
1698761693-87,April,30,"Horoscope Today, April 30, 2023: Read Your Astrological Predictions"
1698761693-88,April,30,"In Mumbai, Mira Road man held for selling 10gm ganja used to frame actor"
1698761693-89,April,30,"Vote for double-­engine govt, not reverse-­gear one: Amit Shah"
1698761693-90,April,30,"Vote for double-­engine govt, not reverse-­gear one: Amit Shah"
1698761693-91,April,30,"Security guard sexually abuses minor, then tries to kill himself in Chennai"
1698761693-92,April,30,Don't rely on sites like Wikipedia to write verdicts: Madras HC
1698761693-93,April,30,Rain pounds Hyderabad; 9-year-old girl washed away in drain
1698761693-94,April,30,SCCL forgery accused nabbed after 30 years in Hyderabad
1698761693-95,April,30,Tamil Nadu reports 321 new Covid cases
1698761693-96,April,30,Tamil Nadu reports 321 new Covid cases
1698761693-97,April,30,Tamil Nadu reports 321 new Covid cases
1698761693-98,April,30,Tamil Nadu reports 321 new Covid cases
1698761693-99,April,30,Tamil Nadu reports 321 new Covid cases
1698761693-100,April,30,Tamil Nadu reports 321 new Covid cases
1698761693-101,April,30,"Telangana gets Rs 7.2,000 investment in food processing in 1 day"
1698761693-102,April,30,Five women get combat postings; Galwan braveheart's wife an officer
1698761693-103,April,30,"5 peddlers arrested, 2.5kg hash oil seized in Hyderabad"
1698761693-104,April,30,"Delhi LG VK Saxena orders CS to secure files on renovation of CM Arvind Kejriwal's house, give report"
1698761693-105,April,30,Counselling after private HIV tests a rarity
1698761693-106,April,30,"Telangana logs 41 Covid cases, 49 recoveries"
1698761693-107,April,30,Ex-BJP MLA held for Ram Navami violence in Bihar's Sasaram
1698761693-108,April,30,Nights to be cooler across Maharashtra in May: Weather department
1698761693-109,April,30,Security guaranteed to all in UP without any bias: CM Yogi Adityanath
1698761693-110,April,30,Gaya boy Gulshan Kumar emerges Bihar topper in JEE-Main
1698761693-111,April,30,Lucknow's pleasant weather may continue in first week of May
1698761693-112,April,30,126 new Covid cases in Bihar
1698761693-113,April,30,Arvind Panagariya named chancellor of Nalanda University
1698761693-114,April,30,"PM Modi talks of his agony more, ignores people’s woes: Priyanka Gandhi"
1698761693-115,April,30,Centralised CM Yogi Adityanath dashboard to grade districts & departments
1698761693-116,April,30,Rs 24 lakh looted from SBI ATM in Bihar's Saran
1698761693-117,April,30,Rs 10 lakh stolen from parked car in Patna
1698761693-118,April,30,"'Arikomban' captured, shifted to Periyar Tiger Reserve"
1698761693-119,April,30,Pre-­poll seizures of cash & freebies cross Rs 300 crore: Election Commission
1698761693-120,April,30,"Covid claims 2 lives, active cases decline in Rajasthan"
1698761693-121,April,30,"Covid claims 2 lives, active cases decline in Rajasthan"
1698761693-122,April,30,"Covid claims 2 lives, active cases decline in Rajasthan"
1698761693-123,April,30,"Covid claims 2 lives, active cases decline in Rajasthan"
1698761693-124,April,30,Bihar CM Nitish Kumar hints at opposition parties'meet after Karnataka polls
1698761693-125,April,30,"Jhalawar cooperative official, tehsildar wife's illegal wealth over Rs 26 crore: ACB"
1698761693-126,April,30,Nitish Kumar hints at opposition meet after Karnataka polls to devise 2024 plan
1698761693-127,April,30,Man arrested for unnatural sex in Bihar's Vaishali
1698761693-128,April,30,"Despite orange alert, Pooram to be held in Thrissur today"
1698761693-129,April,30,Uttarakhand launches drive to help detect demography change
1698761693-130,April,30,CM Yogi Adityanath highlights global identity and development of Varanasi
1698761693-131,April,30,Thiruvananthapuram zoo: 554 animal deaths in 5 years
1698761693-132,April,30,4 minor boys drown while bathing in Kanpur's Amrit Sarovar
1698761693-133,April,30,"Madhya Pradesh records 29 new Covid cases, one fatality"
1698761693-134,April,30,"Galwan hero’s wife Army officer now, posted in LAC"
1698761693-135,April,30,"Former inspector gets 3 years' jail for Rs 1,000 bribe in Rajkot"
1698761693-136,April,30,From pizza delivery boy in Pathankot to best cadet
1698761693-137,April,30,Metro officials on standby for Kolkata's Ruby-New Garia start this week
1698761693-138,April,30,"Clearing CAT twice, AC repairman's son gets into IIM-Calcutta"
1698761693-139,April,30,"Poacher held in Kuno core area for killing chital, gun seized"
1698761693-140,April,30,AC mechanic’s son who cleared CAT twice gets into IIM­-Calcutta
1698761693-141,April,30,"Bullets were fired in all directions, recounts Kolkata techie after return from war-torn Sudan"
1698761693-142,April,30,Men haven’t always ruled. The way we imagine gender in history is wrong: Angela Saini
1698761693-143,April,30,South Gujarat soil that shaped bouncy cricket pitches is on sticky wicket
1698761693-144,April,30,South Gujarat soil that shaped bouncy cricket pitches is on sticky wicket
1698761693-145,April,30,Stray dogs maul woman to death in MP's Seoni
1698761693-146,April,30,"Sebi files plea in Supreme Court, seeks six more months for Adani probe"
1698761693-147,April,30,HC drops contempt proceedings against MP government in Deepak Arya case
1698761693-148,April,30,750 civic parks across Kolkata become no-plastic zones
1698761693-149,April,30,HC orders CBI to probe all 364 nursing colleges in Madhya Pradesh
1698761693-150,April,30,"Ahead of Bilawal trip, EAM again calls out Pakistan for terror support"
1698761693-151,April,30,Calcutta HC's May list shows Justice Abhijit Gangopadhyay to hear all education cases except 1
1698761693-152,April,30,"At 32°C, Saturday was Ahmedabad's coolest April day in 11 years"
1698761693-153,April,30,Cop in Delhi CM Arvind Kejriwal's security detail killed by godman in Meerut
1698761693-154,April,30,"Defamation case not serious, courts erred in judgments: Rahul Gandhi's lawyer"
1698761693-155,April,30,Howrah: Teacher gets 5-year rigorous imprisonment for sex assault on 6-year-old girl
1698761693-156,April,30,"Defence minister Rajnath to visit Maldives to bolster defence ties, IAF chief heads for Sri Lanka"
1698761693-157,April,30,Youth killed in Kolkata as rod from 'illegal' construction pierces his head
1698761693-158,April,30,"After unflagging sea war, GGR winner welcomes Abhilash Tomy holding the Tricolour"
1698761693-159,April,30,Ahmedabad Municipal Corporation dissolves panel to inspect 82 bridges
1698761693-160,April,30,"India needs space­-based ‘offensive’ weapons in future, says IAF chief"
1698761693-161,April,30,"Monkey menace rare, have SOP to help tackle it: DMRC"
1698761693-162,April,30,"After 13 years, Gujarat Chamber of Commerce and Industry to amend its constitution"
1698761693-163,April,30,"In Ahmedabad, four bodies fished out from Sabarmati in three hours"
1698761693-164,April,30,Mumbai: Bandra & Khar to get water at low pressure
1698761693-165,April,30,"Start automated GST scrutiny, FM Sitharaman tells CBIC"
1698761693-166,April,30,21-year-old gets 20 years in jail under Pocso in Ahmedabad
1698761693-167,April,30,"Valpoi PI suspended, women station PI shunted over rape FIR delays"
1698761693-168,April,30,"6 found smoking hookah on Kedarnath trek route, probe on"
1698761693-169,April,30,"Govt appoints new CEOs for Bank of Baroda, Bank of India"
1698761693-170,April,30,Ghost loans: 7 defraud lender of Rs 4.5 crore in Ahmedabad
1698761693-171,April,30,Green battle: CAQM can now collect fines for stubble fire
1698761693-172,April,30,"Be 'extra cautious', best to plan Kedarnath yatra after May 4: Uttarakhand govt"
1698761693-173,April,30,Kotak Bank quarterly profit leaps 26%
1698761693-174,April,30,"3-year-old girl, dad killed in road mishap in Udham Singh Nagar"
1698761693-175,April,30,Editor of YouTube channel held for extortion in Ahmedabad
1698761693-176,April,30,"Man beats dog to death in Udham Singh Nagar, booked"
1698761693-177,April,30,"IDBI Bank Q4 net profit up 22% to Rs 1,113 crore"
1698761693-178,April,30,New school structure under NEP to implemented this year
1698761693-179,April,30,Firecracker godown catches fire in Roorkee
1698761693-180,April,30,"School holidays from May 2, but Maharashtra government schedules event on May 6"
1698761693-181,April,30,"Listen to them when they say they're wronged, says Priyanka Gandhi Vadra in Delhi"
1698761693-182,April,30,Long weekend rush: Pune-Mumbai Expressway hit by 10km snarls
1698761693-183,April,30,"5 years on, Telangana CM K Chandrasekhar Rao returns to Secretariat, albeit new"
1698761693-184,April,30,'Tranquilise all tigers swiftly': Pauri villagers block nat'l highway
1698761693-185,April,30,Bihar ‘bahubali’ Anand Mohan Singh release triggers calls to free two more upper-caste netas
1698761693-186,April,30,Delhi LG VK Saxena reviews progress of projects at two commercial centres
1698761693-187,April,30,"Pay first two instalments of fee, SC tells students"
1698761693-188,April,30,'Blood updates on national portal a must'
1698761693-189,April,30,"Classmates, these Karnataka JEE toppers hope to team up at IIT-Bombay too"
1698761693-190,April,30,Telangana bidda with perfect 100 is India topper in JEE Mains
1698761693-191,April,30,Delhi minister Saurabh Bharadwaj meets residents after Manish Sisodia's message from jail
1698761693-192,April,30,"Nashik, Pune among Maharashtra's 5 most accident-prone districts"
1698761693-193,April,30,Uttarakhand govt steps up drive to check 'demographic change'
1698761693-194,April,30,MCD schools to have mgmt committees
1698761693-195,April,30,Stray menace on rise in Nainital: 111 dog bite cases in April alone
1698761693-196,April,30,"Bengaluru man loses Rs 30 lakh, turns to Nimhans for bourse fixation"
1698761693-197,April,30,Court in Delhi convicts Seelampur MLA Abdul Rehman for assaulting school principal
1698761693-198,April,30,"Exclusive: Erica Fernandes on making her career choices, says ‘I don’t like to take any permission and my parents really don’t intrude much into my work’"
1698761693-199,April,30,"NCP loses Pune APMC to BJP, UBT wrests Malegaon from Shiv Sena"
1698761693-200,April,30,"NCP loses Pune APMC to BJP, UBT wrests Malegaon from Shiv Sena"
1698761693-201,April,30,"NCP loses Pune APMC to BJP, UBT wrests Malegaon from Shiv Sena"
1698761693-202,April,30,"NCP loses Pune APMC to BJP, UBT wrests Malegaon from Shiv Sena"
1698761693-203,April,30,"Hero of seas, Abhilash is still his mama’s little boy at heart"
1698761693-204,April,30,"BPO employee, mom found dead at home in Bengaluru"
1698761693-205,April,30,Two held for Rs 7.6 lakh jewellery theft in Ahmedabad
1698761693-206,April,30,"In Mumbai, BMC seeks to use reserve lake water if monsoon gets delayed"
1698761693-207,April,30,Two from Ahmedabad in Top 50 of JEE Main
1698761693-208,April,30,"Awe­-inspiring, simply heroic: Admiral leads Navy’s praise"
1698761693-209,April,30,E-Shivneris on Thane-Pune route soon
1698761693-210,April,30,Comedian Sunil's film with debutant Yalamanda Charan 'Bhuvana Vijayam' is to release grandly on May 12
1698761693-211,April,30,Karnataka polls: Ashwath Narayan trusts work he has done but opponents point to civic mess
1698761693-212,April,30,Karnataka polls: Ashwath Narayan trusts works he has done but opponents point to civic mess
1698761693-213,April,30,Why farmers are still tuning into Clubhouse
1698761693-214,April,30,Two on-duty train managers robbed of service bags in Thane
1698761693-215,April,30,Won't enter till domes are demolished: Telangana BJP chief Bandi Sanjay
1698761693-216,April,30,Telangana: 'What benefits will people get from new Sectt'
1698761693-217,April,30,Nothing goes waste: artists busy infusing life into scrap
1698761693-218,April,30,"On blacklist for 29 years, rogue nabbed in Kerala"
1698761693-219,April,30,KTR: Largest integrated aqua hub to come up in Telangana
1698761693-220,April,30,"Patanjali to invest Rs 1,000 crore in integrated oil palm processing unit in Nalgonda"
1698761693-221,April,30,Godrej Agrovet to invest Rs 250 crore in oil palm unit in Telangana
1698761693-222,April,30,"Loan scam accused from Bengaluru cites health, gets bail"
1698761693-223,April,30,Delhi minister Atishi orders inspection of all govt shelters housing children
1698761693-224,April,30,"Steer clear of pigeons, they can scar your lungs: Doctors"
1698761693-225,April,30,"Vadodara doctor couple run dairy farm, supply organic milk"
1698761693-226,April,30,"Drank 1 cup of water in 2­3 days, cooked rice in seawater: Abhilash Tomy"
1698761693-227,April,30,Amit Shah to attend Mann ki Baat event in Mumbai
1698761693-228,April,30,Delhi's Patiala House Court seeks FSL report in a week
1698761693-229,April,30,‘That’s the only thing left now’: Azam fears Atiq­-like fate
1698761693-230,April,30,Student stabbed to death as 2 groups fight at college fest in Bengaluru
1698761693-231,April,30,1st Niti Aayog V C Panagariya named Nalanda university chancellor
1698761693-232,April,30,Young orators floor judges with power of debate
1698761693-233,April,30,Make your farmaish
1698761693-234,April,30,"Road linking Flower Bazaar, Chennai Central railway station taken over by parked vehicles, huts"
1698761693-235,April,30,School staffer held in Delhi for sexual assault of Class VI student
1698761693-236,April,30,Building collapse in Maharashtra’s Bhiwandi kills 2
1698761693-237,April,30,South Western Railway begins station work to restore Nandi Halt station near Bengaluru
1698761693-238,April,30,"Advance bookings for mangoes, turmeric"
1698761693-239,April,30,‘End of gunda raj’: Kin of slain MLA hail order
1698761693-240,April,30,Inclusion of Data Insights will make GMAT assessment qualitative
1698761693-241,April,30,Tamil Nadu CM MK Stalin seeks intervention of Piyush Goyal to save garment sector
1698761693-242,April,30,Two men who tried to snatch gold chain held in Delhi
1698761693-243,April,30,Gang smashes man's head with stone in west Bengaluru
1698761693-244,April,30,"Deep-rooted: 1,000 customers in 10 countries over 20 years"
1698761693-245,April,30,"Only theories, no answers for Kuno cheetah deaths"
1698761693-246,April,30,"Laid after a decade, Bhopal's Kamla Park road dug & left by BMC"
1698761693-247,April,30,Deloitte wants Tamil Nadu to focus on 3 areas for growth
1698761693-248,April,30,Delhi needs property titling authority to untangle web
1698761693-249,April,30,"Doctors worse than nurses at hand hygiene, says study"
1698761693-250,April,30,Karnataka elections: PM Narendra Modi mocks Siddaramaiah for seeking votes citing his retirement
1698761693-251,April,30,Karnataka elections: PM Narendra Modi mocks Siddaramaiah for seeking votes citing his retirement
1698761693-252,April,30,"Youth stabbed to death in Delhi, 4 injured after row over girl"
1698761693-253,April,30,"On day two of intranasal Covid vaccination drive, 44 seniors get vaccines in Mumbai"
1698761693-254,April,30,Assembly elections: Roadshow in Bengaluru draws massive crowd
1698761693-255,April,30,Assembly elections: Roadshow in Bengaluru draws massive crowd
1698761693-256,April,30,"Maximum temperature drops in Delhi, relief to continue"
1698761693-257,April,30,Narendra Modi: Kashi Telugu Sangamam is confluence of Ganga & Godavari
1698761693-258,April,30,"Maharajas to bandits, they all had a finger on the guns in this museum"
1698761693-259,April,30,Many warehouses in Bhiwandi's rural parts 'illegal and poorly constructed'
1698761693-260,April,30,"Rahul Gandhi, Priyanka in Karnataka for electoral tourism: Amit Shah"
1698761693-261,April,30,"Rahul Gandhi, Priyanka in Karnataka for electoral tourism: Amit Shah"
1698761693-262,April,30,Mukhtar Ansari convicted 4th time in total 61 cases against him
1698761693-263,April,30,"Studios raise bar for couple shoots, promise everything, everywhere, all at once"
1698761693-264,April,30,Nepalis bringing Ratnagiri mangoes to Maharashtra's tables
1698761693-265,April,30,"Jeans not cool in summer, they trap heat, don't let air pass: Doctors in Delhi"
1698761693-266,April,30,Karnataka assembly polls: Rs 300 crore worth of freebies & cash seized so far
1698761693-267,April,30,Karnataka assembly polls: Rs 300 crore worth of freebies & cash seized so far
1698761693-268,April,30,"Army ambulance falls into gorge in Rajouri, two personnel killed"
1698761693-269,April,30,Magnitude 4.1 earthquake hits Jammu & Kashmir
1698761693-270,April,30,Two intruders arrested along LoC in Poonch
1698761693-271,April,30,"Netas use hip slogans, reels for social media blitzkrieg in Lucknow"
1698761693-272,April,30,New Assam rules for governance of districts
1698761693-273,April,30,Corona ex gratia given in Delhi
1698761693-274,April,30,Assembly elections: BJP looks to former Bengaluru top cop Bhaskar Rao to oust Zameer Ahmed Khan in Congress stronghold
1698761693-275,April,30,Assembly elections: BJP looks to former Bengaluru top cop Bhaskar Rao to oust Zameer Ahmed Khan in Congress stronghold
1698761693-276,April,30,"No penalty despite delay in Navi Mumbai metro work, reveals RTI"
1698761693-277,April,30,"Monsoon afar & Hyderabad deluged, devastated by torrential rains"
1698761693-278,April,30,Hyderabad sees 2nd wettest day in April in 10 yrs
1698761693-279,April,30,Accreditation card of manager used for fake IPL tickets in Hyderabd: CP
1698761693-280,April,30,Repay Rs 639 crore to RTC co-op credit society in phases: Telangana high court
1698761693-281,April,30,Telangana stands fifth in handling of OPD caseload
1698761693-282,April,30,"Stray cattle, monkey menace top concerns in Lucknow"
1698761693-283,April,30,"564 fresh Covid-19 cases, one death reported in Delhi"
1698761693-284,April,30,2 die of Covid in Kolkata hospitals
1698761693-285,April,30,MMRDA all set to procure station infrastructure for Metro 6
1698761693-286,April,30,Karnataka: May 10 paid holiday for non-voters too
1698761693-287,April,30,Karnataka: May 10 paid holiday for non-voters too
1698761693-288,April,30,Protesters torch forest office in Manipur's Churchandpur as violence escalates
1698761693-289,April,30,Google celebrates English actor Alan Rickman with a doodle
1698761693-290,April,30,"Karnataka polls: 33,036 vote from home on Day 1"
1698761693-291,April,30,"Karnataka polls: 33,036 vote from home on Day 1"
1698761693-292,April,30,"Woman dies in fire at house in Delhi, two kids injured"
1698761693-293,April,30,"Tamil Nadu: Watch power load, it can cost you"
1698761693-294,April,30,Shraddha Walkar murder case: Order on framing charges on May 9
1698761693-295,April,30,"CM Nitish Kumar opens officers' building, yoga centre in Patna"
1698761693-296,April,30,"Two men held in Old Delhi for murder of shopkeeper, more suspected"
1698761693-297,April,30,Mumbai widow loses Rs 85 lakh to 'policy claim' fraud
1698761693-298,April,30,Indian-American startup founder pleads guilty
1698761693-299,April,30,Mumbai: 20-year-old swimmer held in pool diving death
1698761693-300,April,30,Cameras & drones to keep an eye on mining in Aravalis
1698761693-301,April,30,"Nuh raids: 65 youths held for online frauds, many others being quizzed"
1698761693-302,April,30,"Covid cases below 200 in Gurgaon, but doctors say you should still wear the mask"
1698761693-303,April,30,"Cops, students on cycles raise awareness on crime in Gurgaon"
1698761693-304,April,30,Enjoy till it lasts: Rain and thunderstorms in store for entire week in Gurgaon
1698761693-305,April,30,"Need to strengthen health centres, Niti Aayog member says in Gurgaon"
1698761693-306,April,30,"Gurgaon: Upkeep not handed over to RWA, DTCP sends notice to Oyster Grande developer"
1698761693-307,April,30,Greater Noida: Meet at Bennett University explores AI impact on rights
1698761693-308,April,30,"Economic muscle growing fast, Gurgaon now 9th biggest income tax-paying city"
1698761693-309,April,30,'Ever-smiling' poetess Naseem Nikhat passes away in Lucknow
1698761693-310,April,30,Ghaziabad: Candidates prepare to hit campaign trail
1698761693-311,April,30,"After strike threat, Haryana govt races to clear midday meal workers’ pay"
1698761693-312,April,30,"After strike threat, Haryana govt races to clear midday meal workers’ pay"
1698761693-313,April,30,Teen detained for sodomising 5-year-old in Ghaziabad
1698761693-314,April,30,3 held for cheating job aspirants in Ghaziabad
1698761693-315,April,30,"Broken roads, dirty water, rusting pipes: Why voters want a change in Ghaziabad's Vasundhara"
1698761693-316,April,30,Gangster with Rs 1 lakh reward on his head held after gunfight in Greater Noida
1698761693-317,April,30,"Noida reports 80 Covid cases, Ghaziabad records 81"
1698761693-318,April,30,Escape to luxury: Why housing is taking a premium leap in Noida
1698761693-319,April,30,"Kotak Mahindra Bank’s quarterly profit leaps 26%, CEO says hungry for acquisitions"
1698761693-320,April,30,"Pvt bus charred, no one injured"
1698761693-321,April,30,On the roll: E-bikes find takers in areas near colleges & metro stations in Noida
1698761693-322,April,30,Veiled Eros structure sparks fears for Art Deco precinct
1698761693-323,April,30,"India’s toy exports up 1.5 times, imports down 70%"
1698761693-324,April,30,Need 6 more months for Adani probe: Sebi to SC
1698761693-325,April,30,"Do not insist on NOC for building redevelopment halted in 2009, says Bombay HC"
1698761693-326,April,30,"Amid H-1B e-registration surge, USCIS warns against misusing system"
1698761693-327,April,30,200 people held in 161 drug cases in Mumbai
1698761693-328,April,30,20-year-old swimmer held in pool diving death
1698761693-329,April,30,"IDBI Q4 net profit rises 22% to Rs 1,113 crore on recoveries"
1698761693-330,April,30,16 Palghar schools face legal action
1698761693-331,April,30,Sebi to SC: Need more time for Adani inquiry
1698761693-332,April,30,Two on-duty train managers robbed of service bags
1698761693-333,April,30,"No penalty despite delay in metro work, reveals RTI"
1698761693-334,April,30,Dept awarded for abortion scheme
1698761693-335,April,30,Prerana in line for a treble
1698761693-336,April,30,Ashwath Narayan trusts works he has done but opponents point to civic mess
1698761693-337,April,30,Tamil Nadu: Summit aimed at boosting health tourism in state held
1698761693-338,April,30,"Speeding van slams biker in Chennai, kills him"
1698761693-339,April,30,"Technology has made online filing, hearing possible, says ACJ T Raja"
1698761693-340,April,30,Women get the same training as men. We aim to become experts in the field: Cadets
1698761693-341,April,30,"Ganja, liquor seized from Chennai's Puzhal jail"
1698761693-342,April,30,"MDMK presidium chairman S Duraisamy flays Vaiko, says better to merge with DMK"
1698761693-343,April,30,"BJP is the biggest fake news factory, says AICC spokesperson Supriya Shrinate"
1698761693-344,April,30,Mutant best for Ooty main event
1698761693-345,April,30,Edappadi K Palaniswami decries move to introduce automatic liquor dispensers in Tamil Nadu
1698761693-346,April,30,Hand over used pads separately: Chennai mayor R Priya
1698761693-347,April,30,Telangana stands fifth in handling of OPD caseload
1698761693-348,April,30,Batting first could be way to go
1698761693-349,April,30,Six town vending committeemembers elected
1698761693-350,April,30,Cloudburst triggers mayhem at Nallakunta in Hyderabad
1698761693-351,April,30,Ancient DNA analysis shows Eurasian genetic imprint in Kerala’s Pattanam
1698761693-352,April,30,Man held for duping many over fake job in Hyderabad
1698761693-353,April,30,Telangana University VC empowered after court order
1698761693-354,April,30,Heavy downpour paralyzes civic life in Cantt
1698761693-355,April,30,2.6k passports issued in spl drive
