,Date,news
100,10-01-2021,I only had Aishwarya & Ashwin in mind for my short on lockdown loneliness: Sharada Ramanathan
101,10-01-2021,"Pankaj Advani: We planned to marry in March 2020, but had to postpone it due to the pandemic"
102,10-01-2021,‘Telemedicine can help treat lockdown sleep syndrome’
103,10-01-2021,Bombay HC slams BMC for allowing Navrati pandal in pandemic
104,10-01-2021,"Mumbai: BKC building’s builder, residents at war over society formation"
105,10-01-2021,"Delhi: Pandemic hits kids’ care too, doctors advise prompt action"
106,10-01-2021,Lockdown took toll on mental health: Experts
107,10-01-2021,Lockdown took toll on mental health: Experts
108,10-01-2021,Lockdown took toll on mental health: Experts
109,10-01-2021,Lockdown took toll on mental health: Experts
110,10-01-2021,Worker designs high-speed needle machine in lockdown
111,10-01-2021,Antimicrobial resistance hurting global war against Covid-19: Chandigarh doctors
112,09-01-2021,Singer-actor Lizaa Malik finds love amid the pandemic
113,09-01-2021,"Sensex nears 49k on Biden confirmation, foreign fund buying"
114,09-01-2021,"Kolkata: Chill takes a break, makes viruses more active in pandemic season"
115,08-01-2021,Jail inmates kin got Rs 24 lakh aid during pandemic year
116,07-01-2021,PIL for extension of interim orders during lockdown closed
117,07-01-2021,Sensex ends 10-day rally after new high
118,07-01-2021,UP govt to come up with ‘bridge course’ for students who dropped out during pandemic
119,07-01-2021,Lockdown hit education of girls more than boys: Study
120,07-01-2021,"As pandemic strains marital ties, divorce rate shoots up"
121,07-01-2021,Sivaganga MCH records marginal increase in deliveries during lockdown
122,06-01-2021,HC restrains felling of trees inside war memorial park in Bengaluru
123,06-01-2021,TV celebs turn fitness experts on social media platforms amid COVID pandemic
124,06-01-2021,TV celebs turn fitness experts on social media platforms amid COVID pandemic
125,06-01-2021,Sensex hits new closing high for 8th straight day
126,06-01-2021,Lockdown proximity pulled couples apart
127,06-01-2021,Temple row: War of words continues
128,06-01-2021,Fatal accidents drop by 25% in lockdown yr
129,06-01-2021,Andhra Pradesh: Pandemic serves as deterrent to cockfighting this Sankranti
130,06-01-2021,Ahmedabad: Lockdown spike in calls flagging infidelity
131,05-01-2021,England goes into new Covid-19 lockdown as cases surge
132,05-01-2021,"Sensex scales 48k for 1st time on GST collections, FPI buying, vaccine okays"
133,05-01-2021,Diluted LRS helping Telangana fill its coffers left dry by pandemic
134,05-01-2021,Medicines against the pandemic
135,04-01-2021,Jaguar driven by doctor kills pedestrian in Udupi
136,04-01-2021,Number of cybercrime cases doubled in Pune in pandemic year
137,04-01-2021,Startups seek Jharkhand govt support to stay afloat during pandemic
138,04-01-2021,Startups seek Jharkhand govt support to stay afloat during pandemic
139,04-01-2021,"BJP, Cong in war of words over approval for Covaxin"
140,04-01-2021,"BJP, Cong in war of words over approval for Covaxin"
141,03-01-2021,Transport dept unable to meet target revenue due to lockdown
142,03-01-2021,"Just 4% drop in Indian students in US univs, pandemic delayed plans"
143,03-01-2021,Eggs removed from Tata zoo animals’ diet after bird flu scare in Raj and MP
144,02-01-2021,Pandemic management: Palike sets up excellence centre
145,02-01-2021,Pandemic forced people to value migrant workers: PM
146,02-01-2021,Housing inflation in urban Gujarat down by 45%
147,02-01-2021,Housing inflation in urban Gujarat down by 45%
148,02-01-2021,Housing inflation in urban Gujarat down by 45%
149,02-01-2021,Housing inflation in urban Gujarat down by 45%
150,01-01-2021,"Nifty scales 14k, sensex nears 48k"
151,01-01-2021,Tax tribunal drops remark against Mistry in Tata order
152,01-01-2021,Army restores war hero’s damaged grave
153,01-01-2021,Containment zones to be in lockdown till Jan 31
154,01-01-2021,Highs & lows of Nashik’s Covid pandemic fight in 2020
155,28-02-2021,The pandemic has triggered ‘death anxiety’ but Google is not a doctor
156,28-02-2021,Lockdown power tariff order confuses many
157,28-02-2021,Maharashtra: Family-run Sawantwadi toy factories struggle to survive in pandemic era
158,28-02-2021,AP: Pandemic and a consequent dip in demand grind lorries to halt
159,27-02-2021,"Sensex tanks 1,939 pts as high yields take global toll"
160,27-02-2021,Need same inflation target for 5 more years: RBI
161,27-02-2021,Tamil Nadu: Polling time increased by an hour considering pandemic
162,27-02-2021,Tamil Nadu: Polling time increased by an hour considering pandemic
163,27-02-2021,Tamil Nadu: Polling time increased by an hour considering pandemic
164,27-02-2021,GHMC’s sports wing revenue affected due to pandemic
165,27-02-2021,Verem’s Naval war college sees change of guard
166,27-02-2021,Lockdown infused fresh air in critically polluted clusters
167,26-02-2021,Pandemic pushes demand for IT and computer courses in engg admissions
168,26-02-2021,T among top in meeting SDGs in pandemic year: Report
169,26-02-2021,"Congress marches against Centre’s three farm laws, inflation"
170,24-02-2021,"Maharashtra: Corporations likely to restart dedicated facilities, war rooms"
171,24-02-2021,Lockdown not a long-term solution: WHO scientist
172,24-02-2021,Govt steps during pandemic to be poll plank for BJP
173,24-02-2021,Goa: Alarming violations of pandemic norms in Salcete’s coastal tourist belt
174,23-02-2021,"Sensex tanks 1,145pts on rising yield, crude"
175,23-02-2021,Pandemic rule violators will be challaned from today
176,23-02-2021,"Shopkeepers, hoteliers, upset over partial lockdown"
177,23-02-2021,"Maharashtra: Lockdown is not necessary, say experts"
178,22-02-2021,Tata Chemicals gets ITAT relief in logo fee case
179,22-02-2021,"PMC, PCMC chiefs issue orders formalising fresh pandemic curbs"
180,22-02-2021,"Covid-19: Lockdown back in Amravati, ‘preventive’ closures in Pune"
181,22-02-2021,"To reclaim nationalism plank, Cong plans events on 50 years of ’71 war"
182,22-02-2021,5 cities in Amravati & Akola go under lockdown till Mar 1
183,22-02-2021,UK's Johnson to plot path out of lockdown on Monday
184,21-02-2021,Lockdown effect: Bordharan gate to be closed on Sunday
185,21-02-2021,Villagers give Rs 90k to CM’s fund as thanks for jobs in lockdown
186,21-02-2021,"BJP, TMC in war of words on Nandigram"
187,20-02-2021,"Sensex slides 4th time in row, closes below 51K"
188,20-02-2021,Delhi: Khaki wore many hats during lockdown
189,20-02-2021,"Soon, dept inquiry into lockdown labour scam to be complete"
190,19-02-2021,"Sensex dips for 3rd day on yields, crude"
191,19-02-2021,Stay alert as pandemic hasn’t ended yet: Govt
192,19-02-2021,Lucknow: 17 Tablighis booked during lockdown let off
193,19-02-2021,Govt’s pandemic relief work exemplary: BJP
194,18-02-2021,"India, China came close to war last year, says Lt-Gen"
195,18-02-2021,Rising bond yields weigh on sensex
196,18-02-2021,Rajasthan: Rs 1 lakh fine on officer for cancelling war widow’s job
197,18-02-2021,"Telangana: Gattus helped juniors, won hearts during lockdown"
198,17-02-2021,Tata Group seek CCI nod to acquire Bigbasket
199,17-02-2021,Another lockdown if Covid SOPs not followed: Maharashtra CM
200,17-02-2021,Price war leads to cracks in the construction sector
201,17-02-2021,"GMCH Trauma Centre performed many surgeries, reduced death rate in pandemic yr"
202,17-02-2021,Inflation & fuel price rise hit Bhopalis hard
203,17-02-2021,Maharashtra CM warns of lockdown again as Covid cases rise in state
204,17-02-2021,Maharashtra CM warns of lockdown again as Covid cases rise in state
205,16-02-2021,Here's why Rishab Shetty and team decided to make Hero during the pandemic
206,16-02-2021,"Housing complexes leave pandemic fears behind, scale up Saraswati Puja celebrations"
207,16-02-2021,CSR funds for Tata hosp’s pediatric cancer patients drop 75%
208,16-02-2021,BJP: Centre helped Delhi tide over pandemic
209,16-02-2021,Mumbai: CSR for Tata hospital’s pediatric cancer patients plunges 75%
210,15-02-2021,"Deja vote: 103 years ago, polls in pandemic"
211,15-02-2021,"At ‘Aadi Mahotsav’, tribal artists try to regain livelihood lost during lockdown"
212,15-02-2021,Goa crosses 100 relief flights since lockdown
213,15-02-2021,"Open war between Maharashtra govt & governor, says Sanjay Raut"
214,15-02-2021,"Platform ticket prices hiked by 300% in Ranchi, Tata and Hatia railway stations"
215,15-02-2021,"The pandemic made my wife Vinny and my bond stronger, says Kundali Bhagya actor Dheeraj Dhoopar"
216,14-02-2021,War of eaters: Can you stomach this?
217,14-02-2021,B’desh war veteran handed victory flame
218,14-02-2021,"Many lounges, restos clock highest reservations so far during pandemic"
219,14-02-2021,Cabs lying since since before lockdown
220,14-02-2021,UP to withdraw 2.5 lakh cases for violation of lockdown
221,13-02-2021,Shakuntala's tale gets a modern spin in post pandemic world
222,13-02-2021,Tata Motors gets Daimler veteran Llistosella as CEO
223,13-02-2021,Pandemic delays private school admissions in Visakhapatnam
224,12-02-2021,Startup jobs grew 14% during the pandemic year: Govt data
225,11-02-2021,Halsey reveals start of pandemic was tough for her
226,11-02-2021,CEO of Tata Starbucks to step down
227,11-02-2021,White paper on pandemic expenses
228,11-02-2021,‘Net’ worth: Delhi civic bodies to reboot IT infra after lockdown exposes lag
229,10-02-2021,Tata Steel’s Q3 operating profit hits record Rs 9.5k cr
230,10-02-2021,Here’s to bookmarking through the pandemic
231,10-02-2021,Tata Motors gets show-cause notice on EV ‘performance’
232,10-02-2021,"Telangana: Pandemic cloud over internship offers, core engg branches seek virtual options"
233,10-02-2021,US soldier in war exercise tests positive for Covid-19
234,09-02-2021,"Sensex surges for 6th day in row, ends above 51k pts"
235,09-02-2021,Maharashtra: Shiv Sena & BJP continue war of words over CM’s post
236,08-02-2021,Pandemic not grounds to release murder accused: Court
237,07-02-2021,Uttar Pradesh: The sweet challenge during the coronavirus pandemic
238,07-02-2021,AU students document experiences of the pandemic
239,07-02-2021,Bhopal: Covid warriors paint courage & hope on pandemic canvas
240,06-02-2021,Lockdown Ki Love Story actress Sana Sayyad makes her relationship with boyfriend Imaad Shamsi official; see pics
241,06-02-2021,Sensex sees best B-week in 10 yrs with 4.4k pt rise
242,06-02-2021,Madras high court waives off rent for shop for lockdown period
243,06-02-2021,"Wanted fugitive, three others shot dead in Churu gang war"
244,06-02-2021,Edu minister for online exams for varsities till pandemic ends
245,06-02-2021,"BJP, Raut in war of words over power bills"
246,06-02-2021,"4 artistes join TMC, farm tweet war echoes at event"
247,05-02-2021,"Sensex hits high of 50,688, BSE mcap crosses Rs 200L cr"
248,05-02-2021,Mumbai: 45% calls made on ‘100’ in pandemic not related to policing
249,04-02-2021,Kashmir becomes a hot favourite for Kannada filmmakers post pandemic
250,04-02-2021,Farmers’ protests blow into global social media war as celebs join in
251,03-02-2021,Tata Consumer Products buys cereal co Kottaram Agro Foods
252,03-02-2021,Budget bull run helps sensex breach 50k for the 2nd time
253,03-02-2021,Indo-Pak war victory flame reaches Dausa
254,03-02-2021,2 Lt Gens at war withdraw complaints as Army chief orders court of inquiry
255,03-02-2021,JNTUH sees ‘malpractice’ soar during pandemic
256,03-02-2021,Lockdown helped me give wings to my words
257,02-02-2021,"Sensex dons best B-day suit, posts 2nd-highest rise ever of 2,315 points"
258,01-02-2021,UP: Law minister lauds chemists’ role in lockdown
259,01-02-2021,"Pandemic effect? 66% dip in PhD, MPhil degrees at Mumbai University"
260,01-02-2021,Objection to loud party turns south Kolkata locality into war zone
261,01-02-2021,"‘Doctored’ video of CM Arvind Kejriwal: AAP, BJP in war of words"
262,31-03-2021,Holi celebrations remain subdued amid Covid pandemic
263,31-03-2021,"Sensex soars 1,128 pts over earnings, US vaccine rollout"
264,31-03-2021,Pandemic up close: Time spent in a Covid facility provides sobering lessons
265,31-03-2021,GU: Pandemic delayed exams by 3 months
266,31-03-2021,"Limited lockdown to continue in worst-hit districts, says Madhya Pradesh CM"
267,31-03-2021,Many home after years on Holi due to pandemic
268,31-03-2021,CM: No intention of imposing total lockdown in Goa
269,29-03-2021,"Goa: As pandemic boosts farming, sharp dip in home, edu loans"
270,29-03-2021,Pandemic takes sheen off Amroha ‘topi’ this Holi
271,29-03-2021,"20% Covid +ve patients die in GMCH, IGGMCH in 12-month pandemic"
272,29-03-2021,Covid: Snap lockdown ordered in Australia's Brisbane
273,29-03-2021,Pandemic blamed for lack of VAR after Cristiano Ronaldo's complaints
274,29-03-2021,Nagpur: Automobile spare parts worth Rs 7 lakh gutted in fire at 3 workshops
275,28-03-2021,"Intimate get-togethers, private parties: Gurgaon ditches grand Holi plans amid the pandemic"
276,28-03-2021,Maharashtra: Lockdown in Nandurbar from March 31 midnight
277,28-03-2021,Med-tech startup from Ahmedabad doubles revenues in the pandemic year
278,28-03-2021,Pandemic takes sheen off Amroha ‘topi’ this Holi
279,28-03-2021,Cov change in voting in pandemic times
280,27-03-2021,Can SP pledge Tata Sons shares? Opinion differs
281,27-03-2021,Decision on lockdown in Nashik on April 2: Bhujbal
282,27-03-2021,Complete lockdown in Solapur on weekend
283,27-03-2021,Sunday lockdown extended to five more cities in Madhya Pradesh
284,27-03-2021,"Lucknow: Virtual parties, dry gulal to add colour to Holi amid pandemic"
285,27-03-2021,DMK keeps bureaucrats under war room scanner
286,27-03-2021,30% eateries shut shop in lockdown in Ahmedabad
287,27-03-2021,Poll officials flout pandemic norms
288,27-03-2021,"Deputy CM Ajit Pawar says no lockdown in Pune for now, board exams on time"
289,27-03-2021,1971 war veteran Lt Gen WAG Pinto passes away
290,26-03-2021,Rising Covid cases pull sensex down 740 points
291,26-03-2021,India Inc’s foreign holding at record high: NSE report
292,26-03-2021,Lukewarm response to Cong procession against inflation
293,26-03-2021,"Lockdown option mooted for Aurangabad, says Desai"
294,26-03-2021,"Bhopal: With festivals round the corner, no relief likely in Sunday lockdown"
295,26-03-2021,"‘2nd wave of pandemic has started, recent surge not temporary blip’"
296,25-03-2021,Pandemic year lowered TB transmission rates
297,25-03-2021,"Job losses, migrant exodus define a year of lockdown in Andhra Pradesh"
298,25-03-2021,Pandemic takes colour off Holi business
299,25-03-2021,"Gujarat: Lockdown opened up many couples’ insecurities, personality disorders"
300,25-03-2021,Pandemic shrank Ahmedabad’s budget for the first time
301,25-03-2021,Stay@home side-effect: Screen-happy kids shun outdoors as lockdown habit lingers
302,25-03-2021,"Made in UP, Covid animation series helping world fight against pandemic"
303,24-03-2021,"From crash of record 4k pts last year, sensex gains 95%, m-cap 2x"
304,24-03-2021,Passengers who cancelled flights during lockdown may receive their refunds next week
305,24-03-2021,"Maharashtra: More child marriages, rise in perversity in pandemic"
306,24-03-2021,"AAP, BJP in war of words over drinking age"
307,24-03-2021,Lockdown rumour sets off panic buying
308,23-03-2021,An online sale platform to boost designers’ business during the COVID pandemic
309,23-03-2021,Maharashtra may impose lockdown if cases keep rising: Health minister Rajesh Tope
310,23-03-2021,"Telecom service, hardware failure led to outage: NSE"
311,23-03-2021,"Maharashtra hits 2.5 million cases, govt says lockdown option is open"
312,23-03-2021,"Maharashtra hits 2.5 million cases, govt says lockdown option is open"
313,23-03-2021,Lockdown not an option: Rajasthan health minister
314,21-03-2021,"Complete lockdown not a solution, strict restrictions needed: Opposition & ruling members"
315,21-03-2021,No lockdown or day curfew considered: CM
316,21-03-2021,This hosp kept its doors open for animals during lockdown
317,21-03-2021,Lockdown inevitable if Holi celebrations go wild: Health experts
318,21-03-2021,Bhopal: Lockdown blues lower vax count
319,20-03-2021,Maharashtra CM says lockdown is an option
320,20-03-2021,Indian Ensemble's first show post pandemic combines fiction and reality
321,20-03-2021,Indian Ensemble's first show post pandemic combines fiction and reality
322,20-03-2021,Eight-and-a-half-hour play Parva leads theatre revival post pandemic
323,20-03-2021,"Failure at NSE clearing arm led to February outage, says RBI"
324,20-03-2021,"After lockdown washout, FY21 sees hit IPOs"
325,20-03-2021,Tata Motors CEO-designate opts out
326,20-03-2021,Bihar govt takes guard against 2nd wave of pandemic
327,20-03-2021,"Complete lockdown not a solution, strict restrictions needed: Fadnavis"
328,20-03-2021,"Hawkers, autorickshaw drivers to launch stir if lockdown is extended"
329,20-03-2021,"No buyers due to lockdown curbs, farmers dump veggies, give it free"
330,20-03-2021,Symbiosis law pupil wins Tata Crucible quiz
331,20-03-2021,Lockdown in Delhi gave wing to sparrows
332,20-03-2021,"BEST reels under pandemic blow, incurs Rs 1,859 crore deficit"
333,20-03-2021,"Lockdown is an option, says CM Uddhav Thackeray as Maharashtra’s cases rise"
334,20-03-2021,"Lockdown is an option, says CM Uddhav Thackeray as Maharashtra’s cases rise"
335,20-03-2021,"Lockdown is an option, says CM Uddhav Thackeray as Maharashtra’s cases rise"
336,20-03-2021,"CM Shivraj Singh Chouhan orders Sunday lockdown in Bhopal, Indore & Jabalpur"
337,19-03-2021,France’s prime minister Macron imposes lockdown on Paris as virus spreads faster
338,19-03-2021,Irdai sees demand for new covers in wake of pandemic
339,19-03-2021,"Covid, yields sink sensex by 2k pts in just 5 sessions"
340,19-03-2021,Three months’ lockdown cleanses Alang’s lungs
341,19-03-2021,CNI help for Cov lockdown victims
342,19-03-2021,How first ‘containment zone’ Professors’ Colony became the face of pandemic
343,19-03-2021,Businesses take pandemic challenge head on
344,19-03-2021,"Pandemic boost for health infra, but a long way to go"
345,19-03-2021,"One year on, Gujarat treads cautiously on pandemic path"
346,19-03-2021,"Fresh lockdown not being considered, says CM Rupani"
347,19-03-2021,"Mumbai, Maharashtra both log most daily cases since pandemic began"
348,19-03-2021,"Mumbai, Maharashtra both log most daily cases since pandemic began"
349,19-03-2021,"Mumbai, Maharashtra both log most daily cases since pandemic began"
350,19-03-2021,Dip in flu cases attributed to pandemic measures
351,18-03-2021,Tatas’ stake in Tata Communications will rise to 59%
352,18-03-2021,Village clamps lockdown as nCov cases spike to 51
353,18-03-2021,Mussoorie residents take to social media to dismiss rumours of lockdown in town
354,18-03-2021,Lockdown restrictions fail to affect financial services in city
355,18-03-2021,"War of words between Cong, TRS"
356,18-03-2021,Covaxin becomes primary ammo in region’s battle against pandemic
357,18-03-2021,Mumbai univ’s PG language enrolments up in pandemic
358,17-03-2021,Lockdown triggered sleep disorders among more people
359,17-03-2021,"Dist records 2,587 +ve cases on Tue, highest ever in a day in pandemic"
360,16-03-2021,Citi’s Mauritius arm to sell over 1.6% in NSE
361,16-03-2021,Tata acquires stake in Pritish Nandy Communications
362,15-03-2021,The pandemic accelerated car sales in Bengaluru
363,15-03-2021,"1 year after 1st Covid case, authorities pin hopes on vaccination to beat pandemic"
364,15-03-2021,Over 300 protests held in Lutyens’ during lockdown last year: Police
365,15-03-2021,March 7-14 saw highest Covid +ves of pandemic
366,15-03-2021,Pandemic lessons: How a court complex should look like
367,15-03-2021,Rumours of lockdown in a school and nearby locality create panic
368,15-03-2021,"50 years on, 1971 batch recalls ‘7 legends’ of Bangladesh war"
369,15-03-2021,The 'Seven Legends' of 1971 war course: When passed-out officers turned martyrs in 9 months
370,14-03-2021,Kolkata colleges clean up campuses in lockdown
371,14-03-2021,Mumbai: Angels of lockdown still march on for a cause
372,14-03-2021,"Nagpurians grab lockdown getaway offers to unwind, beat pandemic blues"
373,14-03-2021,"Maharashtra: Now, MBMC puts curbs; central team says lockdown no solution"
374,14-03-2021,Four arrested for stealing 12 bikes during lockdown in Mumbai
375,14-03-2021,"Maharashtra: Lockdown not a solution for any district, say central team"
376,14-03-2021,"Now, MBMC puts curbs; central team says lockdown no solution"
377,14-03-2021,"Now, MBMC puts curbs; central team says lockdown no solution"
378,14-03-2021,Pandemic elbows studio apartments out of favour
379,14-03-2021,"Tourism sector in Karnataka lost Rs 5,000 crore every month because of pandemic disruption"
380,13-03-2021,How leggings have turned into a style statement in the pandemic
381,13-03-2021,Crimes against women continued in Bihar during lockdown last year
382,13-03-2021,JU scores high in placements despite pandemic
383,13-03-2021,State BJP chief wants policy on having no lockdown anywhere
384,13-03-2021,Cases filed during lockdown revoked
385,13-03-2021,Lockdown evening has city roads chock-a-block: Friday
386,13-03-2021,"Retail inflation rises to 3-month high in February, IIP dips 1.6% in January"
387,12-03-2021,Pandemic turns India into Edtech capital of the world
388,12-03-2021,"Don’t take Covid pandemic lightly, warn doctors"
389,12-03-2021,"Maharashtra: Lockdown again not the solution, focus on health protocols, say experts"
390,12-03-2021,"Don’t take Covid pandemic lightly, warn doctors"
391,11-03-2021,Dow hits record high as inflation fears recede after data
392,11-03-2021,Vijayakant’s son rises with a war cry
393,11-03-2021,Class XII students write first term exam since pandemic
394,11-03-2021,"50 years on, 1971 heroes in Hyderabad recollect war exploits"
395,11-03-2021,Village’s ‘self-imposed’ lockdown lasts just 3 hours
396,11-03-2021,"4,415 died, over 1.58L infected in one year of Covid-19 pandemic in district"
397,11-03-2021,"BJP, AAP MLAs in a war of words over city’s Covid fight"
398,11-03-2021,"War exercise ‘Dustlik II’ begins in Ranikhet, Indian & Uzbek soldiers being trained for terror ops in high altitude"
399,11-03-2021,"Mumbai: Even in lockdown year, noise levels stay above cut-off"
400,11-03-2021,71 Indo-Pak war veterans felicitated in district
401,11-03-2021,Pune mayor says no plans to enforce lockdown again
402,11-03-2021,Covid cases up but lockdown is not the solution: Maharashtra health minister
403,11-03-2021,Pandemic proved to be a catalyst for digitalization of classrooms
404,09-03-2021,"Lockdown blues: Matrimonial disputes soar, finds police camp"
405,09-03-2021,"Pandemic shock flattens Maharashtra kitty, numbers get crunched"
406,09-03-2021,Celebration of 1971 war victory begins at MRC
407,08-03-2021,"Little to choose as Mumbai, Goa go to war for place in final"
408,08-03-2021,Partial lockdown in Aurangabad till April 4
